"Part name","Quantity",
"ASM-0201-12xx-planar_motion_mechanism","1",
"M-0201-1201-Shaft 2","2",
"M-0201-1202-Small Cap","4",
"M-0201-1203-Rod","3",
"M-0201-1204-Shaft 1","2",
"M-0201-1205-Big Cap","2",
"C-0201-01_1206_AW 61902-2RS1","8",
"C-0201-1206-Bearing_AW_61902_2RS1","8",
"E-LIB-SCR-FHC_M5x16_DIN7991_INOX_A4","6",
"M-0201-1207-Tube_base","1",
"C-0201-1208-ROSE_KRIEGER-903031","1",
"M-0201-1209-Upper_rod_stop_joint_1","1",
"M-0201-1210-Lower_rod_stop_joint_1","1",
"M-0201-1211-Upper_rod_stop_joint_2","1",
"M-0201-1212-Lower_rod_stop_joint_2","1",
"M-0201-1213-HITTING_PART","1",
"M-0201-1214-Rubber_stop","4",
"E-LIB-SCR-FHC_M4x18","6",
"E-LIB-SCR-TCHC_TB_M4x8","7",
