"Part name","Quantity",
"ASM-0201-13xx-link_1","1",
"C-0201-1303-KINOVA_K-75+","1",
"M-0201-1301-tube1","1",
"M-0201-1302-Interface_kinova_1","1",
""_"_molex_43650-0800_5F7C8ABC[2]","1",
""_"_molex_43650-0800_5F7C88DC[2]","1",
""_"_1_5F7D81D6[2]","1",
""_"_1_5F7C8968[2]","1",
"Pcb_6739","1",
"CAD-0903-parallel_pcb","1",
"P-0201-1304-Connectors_PCB","1",
"L-0201-0001-cap","1",
"E-LIB-SCR-FHC_M3x10","4",
"C-0201-01_1306_FLAT_WIRE","1",
"E-LIB-SCR-FHC_M4x16","6",
"C-0201-1305-Molex 43645-0800","1",
"D2F_01L2_D_ACTUATOR","1",
"D2F_01L2_D_BASE","1",
"C-0201-1307-Microswitch_D2F_01_L2_D","1",
"M-0201-1307-Microswitch_cage_1","1",
"M-0201-1307-Microswitch_cage_2","1",
"E-LIB-SCR-TCHC_M2x5","4",
