"Part name","Quantity",
"ASM-0201-16xx-orthosis_right interface","1",
"E-0201-LIB-SCR-M6x40_axle_screw","1",
"M-0201-1601-orthosis_interface_support","1",
"E-0201-SCR-M5_INSERT_BRASS","4",
"M-0201-1602-Contact_surface","1",
"M-0201-1603-Elbow_support_rail","1",
"M-0201-1605-Elbow_support","1",
"E-LIB-SCR-M6x16_axle_screw","1",
"M-0201-1604-Shoulder_screw_wheel","1",
"E-0201-LIB-SCR-M6x40_axle_screw","1",
"C-0201-1606-Pin D4","1",
"E-LIB-SCR-FHC_M3x10","1",
"C-0201-1606-Pin D4","1",
"C-0201-1611-Top strap","1",
"C-0201-1612-Closing clip","1",
"C-0201-1608-Plain bearing JFM_0608_04_1","4",
"C-0201-1610-Low Velcro strap","2",
"C-0201-1613-Textile orthosis","1",
"C-0201-1611-Top strap","1",
"C-0201-1612-Closing clip","1",
"E-LIB-SCR-TCHC_M5x20","1",
"M-0201-1609-Screw wheel TCHC M5","1",
"C-0201-1607-Spring T_18856R","1",
"E-LIB-SCR-FHC_M3x10","1",
"E-LIB-SCR-FHC_M3x5","1",
